energy,price
27048.0,72.5
25825.0,56.27
24201.0,44.68
22311.0,37.71
20879.0,36.21
19888.0,27.28
19377.0,29.39
19149.0,26.73
19264.0,33.93
20279.0,39.38
20618.0,52.38
22385.0,64.4
24689.0,70.13
26192.0,73.38
26665.0,70.58
26679.0,67.53
26882.0,60.79
26541.0,56.4
25272.0,57.3
24441.0,57.66
24259.0,62.7
24216.0,75.71
24262.0,82.79
25006.0,79.39
27081.0,72.83
26483.0,62.14
24832.0,60.7
25777.0,51.07
24329.0,44.28
23417.0,39.2
23066.0,37.08
22949.0,36.72
23280.0,38.61
24795.0,45.97
27267.0,61.27
29697.0,70.47
30943.0,72.57
31936.0,76.79
32661.0,70.96
33337.0,67.95
33470.0,63.06
32582.0,55.9
32153.0,56.06
32238.0,56.61
32520.0,66.81
32152.0,78.38
31666.0,81.86
31336.0,79.13
31449.0,76.25
30679.0,68.1
27991.0,66.22
28902.0,65.89
27027.0,63.59
25655.0,58.61
25098.0,53.68
24841.0,51.39
25026.0,52.55
26440.0,53.8
28366.0,58.41
30754.0,60.24
33158.0,64.11
34490.0,69.51
34767.0,69.14
35667.0,66.27
36282.0,66.67
35765.0,68.54
35266.0,67.45
35207.0,65.64
35250.0,66.66
34803.0,81.59
34258.0,90.0
33432.0,84.26
32981.0,79.77
32790.0,67.21
30603.0,65.14
25070.0,63.8
23668.0,57.09
22522.0,52.95
21655.0,50.79
21260.0,49.74
21066.0,50.68
21126.0,51.94
20572.0,54.25
21286.0,55.17
22809.0,56.87
24249.0,55.59
25268.0,51.89
25905.0,49.13
26660.0,47.63
27234.0,47.11
26838.0,41.4
26493.0,42.07
26216.0,41.97
26240.0,56.62
26387.0,64.46
26780.0,68.86
28108.0,67.51
29242.0,58.31
27815.0,51.78
27209.0,47.15
25614.0,41.5
24615.0,37.33
24160.0,35.33
23922.0,34.67
24233.0,36.5
25947.0,44.59
28368.0,61.72
30171.0,67.85
31977.0,72.67
33070.0,77.71
33759.0,75.51
34420.0,76.74
34687.0,71.84
33635.0,68.76
32858.0,67.56
32749.0,68.98
32888.0,76.95
32414.0,85.91
31886.0,102.62
32153.0,97.99
33393.0,82.89
30915.0,72.83
28493.0,68.4
24815.0,61.16
23485.0,59.36
22674.0,54.01
22163.0,53.17
22148.0,51.89
22575.0,52.35
24495.0,58.22
27909.0,73.56
29551.0,79.08
30371.0,82.09
30992.0,85.98
31250.0,85.33
31646.0,84.41
31557.0,79.31
30491.0,74.93
29749.0,73.39
29423.0,76.03
29359.0,76.88
29089.0,88.42
29536.0,91.25
31533.0,90.14
31045.0,84.78
28158.0,75.41
26155.0,69.47
22333.0,60.2
21063.0,56.95
20157.0,55.25
19892.0,53.4
19850.0,52.05
20500.0,53.63
22576.0,58.9
25016.0,77.06
26617.0,81.2
28123.0,85.06
29218.0,88.22
29737.0,86.4
30113.0,86.48
30294.0,81.83
29466.0,80.14
28534.0,79.95
28057.0,81.04
28326.0,84.66
29991.0,91.68
31005.0,94.42
31251.0,96.62
30380.0,89.38
27950.0,83.42
25487.0,80.59
27229.0,73.92
25266.0,64.47
24013.0,56.34
23600.0,55.19
23558.0,54.8
24062.0,56.62
26611.0,63.09
31235.0,76.93
33940.0,84.62
34695.0,89.34
34769.0,92.25
34331.0,89.74
33878.0,86.53
34086.0,81.97
33053.0,80.32
32607.0,80.05
32510.0,80.48
33504.0,80.31
35793.0,91.92
36389.0,93.96
36483.0,94.41
35498.0,88.01
32890.0,82.03
29745.0,78.47
29098.0,68.9
26802.0,59.45
25353.0,55.68
24620.0,52.66
24492.0,51.92
25059.0,51.83
27705.0,55.16
32480.0,66.98
35318.0,70.6
36628.0,72.21
37025.0,75.28
36634.0,73.39
35912.0,70.32
35538.0,62.54
34115.0,60.15
33223.0,56.98
33032.0,56.29
33159.0,59.5
33985.0,70.81
36464.0,77.94
36733.0,78.64
36012.0,74.83
33902.0,65.51
31187.0,57.84
28973.0,52.87
26689.0,48.0
25018.0,47.42
24086.0,45.03
23782.0,42.45
23555.0,44.3
24055.0,45.46
25442.0,49.38
26977.0,51.31
29927.0,54.63
32233.0,57.79
32611.0,57.51
32210.0,55.25
32263.0,54.0
31385.0,49.15
30055.0,45.64
29272.0,44.35
29151.0,46.06
30226.0,53.42
32523.0,60.97
32646.0,62.26
32322.0,58.97
30996.0,53.16
28968.0,48.15
27038.0,41.05
25048.0,34.6
23556.0,24.74
22809.0,25.58
22406.0,25.1
22272.0,26.06
22427.0,26.3
23101.0,30.48
23560.0,35.9
25451.0,39.99
27570.0,44.71
28630.0,45.8
28588.0,40.22
28900.0,41.1
28688.0,40.53
27435.0,39.42
26551.0,39.24
26137.0,42.61
27237.0,53.33
29896.0,69.12
31180.0,72.68
31536.0,70.85
30715.0,69.48
28393.0,59.87
25952.0,55.76
24066.0,49.9
22807.0,46.86
22366.0,46.39
22293.0,46.84
23112.0,47.34
26041.0,50.5
30434.0,65.03
33135.0,75.14
34840.0,81.94
35306.0,87.32
35269.0,87.54
35098.0,78.56
35078.0,71.24
33880.0,66.46
33183.0,62.55
33039.0,65.0
32973.0,68.14
33542.0,76.05
36098.0,87.82
36679.0,81.44
35898.0,70.76
33475.0,63.1
30385.0,51.14
27955.0,48.72
25887.0,46.11
24694.0,36.96
24157.0,35.54
24011.0,31.29
24716.0,35.2
27326.0,37.68
31651.0,51.69
33989.0,55.13
35631.0,62.68
36424.0,65.19
36559.0,61.66
36392.0,60.0
36351.0,54.05
34843.0,53.35
34203.0,53.58
34032.0,54.13
34091.0,56.13
34632.0,63.11
37188.0,73.37
37924.0,71.35
36984.0,64.87
34270.0,57.71
30986.0,52.19
28328.0,38.95
26074.0,38.0
24897.0,30.03
24433.0,32.38
24409.0,32.26
24971.0,33.69
27630.0,39.16
32185.0,62.0
34834.0,67.44
36176.0,71.64
36732.0,72.98
36559.0,69.74
36367.0,69.71
36020.0,65.59
34748.0,63.29
34034.0,63.06
33850.0,64.38
33820.0,67.32
33922.0,80.41
36610.0,82.82
37295.0,81.19
36397.0,74.78
33805.0,68.26
30576.0,63.77
27937.0,59.22
25854.0,57.64
24605.0,55.26
24175.0,52.9
24014.0,52.38
24706.0,52.58
27273.0,57.83
31971.0,66.58
34485.0,73.93
35582.0,77.59
35725.0,79.63
35331.0,76.54
34856.0,76.82
34635.0,71.04
33342.0,69.22
32802.0,69.79
32595.0,71.35
32733.0,76.12
33458.0,83.8
36514.0,92.16
37133.0,95.95
36344.0,86.39
33904.0,74.24
30729.0,69.89
28161.0,58.73
25902.0,58.15
